R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
5.2749162,137.930755,174.184,189.94024,205.69648,207.916512,0.450056503,0.0852185655,0.224410282,0.240314649,198.717428,146.357275,186.558971,192.115049
5.2890521,137.891814,174.149677,189.922812,205.695948,207.862217,0.449930021,0.0853275144,0.224519981,0.240222484,198.728834,146.315955,186.556512,192.064881
5.3032258,137.851556,174.113817,189.903891,205.693964,207.805976,0.449802366,0.0854369639,0.224629977,0.240130693,198.738902,146.273238,186.552692,192.012914
5.3174375,137.809971,174.076407,189.883463,205.690518,207.747772,0.449673538,0.0855469161,0.224740272,0.240039274,198.747622,146.229112,186.547499,191.959133
5.3316874,137.767045,174.037434,189.861515,205.685596,207.687587,0.449543538,0.0856573732,0.224850864,0.239948225,198.754982,146.183564,186.540923,191.903522
5.3459754,137.72277,173.996885,189.838037,205.679189,207.625405,0.449412369,0.0857683351,0.224961752,0.239857544,198.760973,146.136584,186.532952,191.846066
5.3603017,137.677132,173.954747,189.813015,205.671284,207.56121,0.449280031,0.085879804,0.225072935,0.23976723,198.765582,146.088158,186.523575,191.78675
5.3746664,137.630121,173.911007,189.786438,205.661869,207.494984,0.449146526,0.0859917813,0.225184412,0.239677281,198.768799,146.038275,186.51278,191.725557
5.3890695,137.581725,173.865651,189.758292,205.650933,207.426711,0.449011856,0.0861042676,0.225296183,0.239587694,198.770612,145.986922,186.500557,191.662473
5.4035113,137.531931,173.818665,189.728564,205.638462,207.356372,0.44887602,0.0862172659,0.225408246,0.239498468,198.77101,145.934086,186.486893,191.597479
5.4179918,137.480728,173.770037,189.697243,205.624448,207.28395,0.448739022,0.0863307768,0.225520601,0.2394096,198.769983,145.879755,186.471777,191.530561
5.4325111,137.428105,173.719753,189.664314,205.608875,207.209428,0.448600863,0.0864448015,0.225633246,0.239321089,198.767518,145.823917,186.455196,191.461703
5.4470693,137.374047,173.667798,189.629765,205.591732,207.132787,0.448461544,0.0865593416,0.22574618,0.239232934,198.763603,145.766557,186.43714,191.390887
5.4616665,137.318545,173.614158,189.593583,205.573008,207.054009,0.448321068,0.0866743983,0.225859403,0.239145131,198.758228,145.707664,186.417595,191.318096
5.4763028,137.261585,173.55882,189.555754,205.552688,206.973078,0.448179435,0.086789973,0.225972913,0.239057679,198.751379,145.647224,186.39655,191.243315
5.4909784,137.203154,173.501769,189.516265,205.530761,206.916354,0.448036647,0.0869060678,0.226086709,0.238970576,198.743046,145.585223,186.373993,191.166525
5.5056933,137.157905,173.465834,189.51439,205.562946,206.985968,0.447892707,0.0870226831,0.22620079,0.23888382,198.80991,145.53721,186.356479,191.096492
5.5204476,137.134659,173.46432,189.573651,205.682983,207.18173,0.447747616,0.0871398203,0.226315154,0.238797409,198.99794,145.512544,186.347948,191.03849
5.5352414,137.110235,173.460921,189.631911,205.802902,207.377395,0.447601377,0.0872574808,0.226429801,0.238711342,199.185876,145.486628,186.338007,190.978628
5.5500749,137.084625,173.455622,189.689162,205.922701,207.572961,0.447453989,0.0873756664,0.226544729,0.238625615,199.373717,145.459453,186.326645,190.916891
5.5649482,137.057816,173.448405,189.745393,206.042381,207.768427,0.447305456,0.0874943786,0.226659938,0.238540227,199.561462,145.431006,186.313852,190.853262
5.5798613,137.0298,173.439254,189.800595,206.161936,207.963789,0.447155781,0.0876136177,0.226775425,0.238455177,199.749107,145.401279,186.299614,190.787726
5.5948143,137.000568,173.428151,189.854759,206.281367,208.159046,0.447004965,0.087733385,0.226891188,0.238370461,199.936651,145.370261,186.283921,190.720267
