R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
1.3096896,178.75109,181.757072,186.41751,191.077948,194.08393,1,0,0,0,186.41751,168.182114,164.731893,185.798189
1.3137573,178.720119,181.725581,186.385211,191.044841,194.050303,1,0,0,0,186.385211,168.220009,164.838724,185.84242
1.3178376,178.687126,181.692033,186.350803,191.009573,194.01448,1,0,0,0,186.350803,168.256626,164.944891,185.885259
1.3219306,178.652093,181.65641,186.314267,190.972124,193.976441,1,0,0,0,186.314267,168.291951,165.050389,185.926693
1.3260364,178.614997,181.61869,186.27558,190.932469,193.936163,1,0,0,0,186.27558,168.325974,165.155213,185.96671
1.3301548,178.575822,181.578857,186.234725,190.890593,193.893628,1,0,0,0,186.234725,168.358681,165.259352,186.005294
1.3342861,178.534546,181.536887,186.191679,190.846471,193.848812,1,0,0,0,186.191679,168.390062,165.362804,186.042435
1.3384302,178.491148,181.49276,186.14642,190.800081,193.801692,1,0,0,0,186.14642,168.420104,165.46556,186.078119
1.3425872,178.445611,181.446456,186.098929,190.751402,193.752247,1,0,0,0,186.098929,168.448794,165.567615,186.112332
1.346757,178.397911,181.397954,186.049184,190.700414,193.700457,1,0,0,0,186.049184,168.47612,165.668959,186.14506
1.3509398,178.34803,181.347234,185.997163,190.647092,193.646296,1,0,0,0,185.997163,168.502069,165.769589,186.17629
1.3551357,178.295942,181.29427,185.942841,190.591412,193.58974,1,0,0,0,185.942841,168.52663,165.869499,186.206009
1.3593445,178.241631,181.239046,185.886201,190.533356,193.530771,1,0,0,0,185.886201,168.549788,165.968678,186.234201
1.3635664,178.185072,181.181536,185.827216,190.472896,193.46936,1,0,0,0,185.827216,168.571531,166.067121,186.260854
1.3678015,178.126244,181.121718,185.765865,190.410012,193.405486,1,0,0,0,185.765865,168.591846,166.164825,186.285953
1.3720497,178.065124,181.059571,185.702124,190.344677,193.339124,1,0,0,0,185.702124,168.61072,166.261777,186.309484
1.376311,178.001694,180.995074,185.635973,190.276872,193.270252,1,0,0,0,185.635973,168.628139,166.357971,186.331431
1.3805856,177.935925,180.928199,185.567384,190.206569,193.198843,1,0,0,0,185.567384,168.644091,166.453403,186.351781
1.3848735,177.867797,180.858926,185.496334,190.133742,193.124871,1,0,0,0,185.496334,168.658561,166.548064,186.370519
1.3891747,177.797287,180.78723,185.4228,190.05837,193.048313,1,0,0,0,185.4228,168.671535,166.641948,186.387629
1.3934893,177.724372,180.713088,185.346757,189.980426,192.969142,1,0,0,0,185.346757,168.683,166.735046,186.403098
1.3978173,177.649025,180.636475,185.268179,189.899883,192.887333,1,0,0,0,185.268179,168.692942,166.827353,186.416909
1.4021587,177.571227,180.557368,185.187044,189.81672,192.802861,1,0,0,0,185.187044,168.701347,166.918858,186.429047
1.4065136,177.49095,180.475741,185.103324,189.730907,192.715698,1,0,0,0,185.103324,168.7082,167.009557,186.439497
1.410882,177.40817,180.391569,185.016994,189.642419,192.625818,1,0,0,0,185.016994,168.713487,167.09944,186.448242
1.415264,177.322862,180.304826,184.928027,189.551228,192.533192,1,0,0,0,184.928027,168.717193,167.188502,186.455268
1.4196596,177.235002,180.215489,184.836399,189.457309,192.437796,1,0,0,0,184.836399,168.719304,167.276733,186.460558
1.4240688,177.144564,180.12353,184.742082,189.360634,192.3396,1,0,0,0,184.742082,168.719804,167.364125,186.464096
1.4284918,177.051519,180.028921,184.645047,189.261173,192.238575,1,0,0,0,184.645047,168.718679,167.450674,186.465865
1.4329285,176.955845,179.931637,184.545269,189.158901,192.134693,1,0,0,0,184.545269,168.715914,167.536369,186.465849
1.4373789,176.857514,179.831653,184.442721,189.053789,192.027928,1,0,0,0,184.442721,168.711492,167.621201,186.464032
1.4418432,176.756499,179.728939,184.337373,188.945807,191.918247,1,0,0,0,184.337373,168.705399,167.705165,186.460396
1.4463214,176.65277,179.623466,184.229196,188.834926,191.805622,1,0,0,0,184.229196,168.697619,167.788253,186.454924
1.4508134,176.546305,179.515211,184.118165,188.721119,191.690025,1,0,0,0,184.118165,168.688136,167.870453,186.4476
1.4553194,176.437072,179.404141,184.004247,188.604353,191.571422,1,0,0,0,184.004247,168.676934,167.951761,186.438406
1.4598394,176.325044,179.290229,183.887414,188.484599,191.449784,1,0,0,0,183.887414,168.663997,168.032167,186.427323
1.4643735,176.210191,179.173444,183.767635,188.361826,191.325079,1,0,0,0,183.767635,168.649307,168.111663,186.414336
1.4689216,176.092486,179.05376,183.644882,188.236004,191.197278,1,0,0,0,183.644882,168.63285,168.19024,186.399425
1.4734838,175.9719,178.931146,183.519124,188.107102,191.066348,1,0,0,0,183.519124,168.614609,168.26789,186.382572
1.4780603,175.848398,178.805567,183.390325,187.975083,190.932252,1,0,0,0,183.390325,168.594565,168.344606,186.363759
1.4826509,175.721957,178.676999,183.258461,187.839923,190.794965,1,0,0,0,183.258461,168.572703,168.420376,186.342968
1.4872558,175.592541,178.545408,183.123495,187.701582,190.654449,1,0,0,0,183.123495,168.549004,168.495194,186.32018
1.491875,175.460122,178.410761,182.985396,187.560031,190.51067,1,0,0,0,182.985396,168.523452,168.569051,186.295376
1.4965085,175.324667,178.273029,182.844132,187.415235,190.363597,1,0,0,0,182.844132,168.496029,168.641936,186.268536
1.5011564,175.218485,178.165061,182.733396,187.301731,190.248307,1,0,0,0,182.733396,168.482118,168.722566,186.263038
1.5058188,175.207823,178.15422,182.722277,187.290334,190.236731,1,0,0,0,182.722277,168.513231,168.828768,186.326754
1.5104957,175.195369,178.141557,182.709289,187.277021,190.223209,1,0,0,0,182.709289,168.543001,168.934266,186.389244
1.515187,175.181105,178.127053,182.694413,187.261773,190.207721,1,0,0,0,182.694413,168.571415,169.039049,186.450494
1.519893,175.165013,178.11069,182.677631,187.244572,190.190249,1,0,0,0,182.677631,168.598462,169.143116,186.510498
1.5246135,175.147078,178.092453,182.658926,187.225399,190.170774,1,0,0,0,182.658926,168.624128,169.246455,186.56924
1.5293488,175.12728,178.072322,182.638279,187.204236,190.149278,1,0,0,0,182.638279,168.648402,169.349065,186.626712
1.5340987,175.105602,178.05028,182.615672,187.181064,190.125742,1,0,0,0,182.615672,168.67127,169.450934,186.6829
1.5388634,175.082028,178.026309,182.591086,187.155863,190.100144,1,0,0,0,182.591086,168.69272,169.552058,186.737793
1.5436428,175.056539,178.000391,182.564504,187.128617,190.072469,1,0,0,0,182.564504,168.712737,169.652426,186.791378
1.5484372,175.029115,177.972506,182.535904,187.099302,190.042693,1,0,0,0,182.535904,168.731309,169.752038,186.843646
1.5532464,174.999739,177.942636,182.505268,187.0679,190.010797,1,0,0,0,182.505268,168.748423,169.85088,186.894582
1.5580705,174.968394,177.910765,182.472579,187.034393,189.976764,1,0,0,0,182.472579,168.764064,169.948947,186.944175
1.5629097,174.935058,177.876868,182.437813,186.998758,189.940568,1,0,0,0,182.437813,168.778221,170.046235,186.992413
1.5677638,174.899715,177.84093,182.400954,186.960978,189.902193,1,0,0,0,182.400954,168.790877,170.142731,187.039282
1.5726331,174.862343,177.80293,182.361979,186.921028,189.861615,1,0,0,0,182.361979,168.802021,170.238434,187.084772
1.5775174,174.822925,177.762849,182.320871,186.878893,189.818817,1,0,0,0,182.320871,168.811637,170.33333,187.128868
1.5824169,174.781439,177.720666,182.277606,186.834546,189.773773,1,0,0,0,182.277606,168.819711,170.427415,187.171558
1.5873317,174.737867,177.676361,182.232165,186.787969,189.726463,1,0,0,0,182.232165,168.82623,170.520683,187.21283
1.5922617,174.692188,177.629914,182.184527,186.73914,189.676866,1,0,0,0,182.184527,168.831179,170.613123,187.252669
1.597207,174.644382,177.581303,182.13467,186.688037,189.624958,1,0,0,0,182.13467,168.834542,170.704728,187.291064
1.6021677,174.594427,177.530509,182.082573,186.634637,189.570719,1,0,0,0,182.082573,168.836306,170.795493,187.328001
1.6071438,174.542305,177.47751,182.028215,186.57892,189.514125,1,0,0,0,182.028215,168.836455,170.885407,187.363466
1.6121354,174.487991,177.422283,181.971572,186.520861,189.455153,1,0,0,0,181.971572,168.834974,170.974465,187.397446
1.6171424,174.431468,177.364809,181.912625,186.460441,189.393782,1,0,0,0,181.912625,168.831848,171.062655,187.429926
1.622165,174.372711,177.305064,181.851348,186.397632,189.329985,1,0,0,0,181.851348,168.827061,171.149973,187.460895
1.6272032,174.311701,177.243028,181.787721,186.332414,189.263741,1,0,0,0,181.787721,168.820599,171.236409,187.490336
1.6322571,174.248412,177.178675,181.721718,186.264761,189.195024,1,0,0,0,181.721718,168.812445,171.321955,187.518238
