scenario,label,s,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_free_sR_sz,delta_chi2
fig2b_65,qcopula_65,1.8884269331187573,555.3625534993305,106.33181374345642,661.6943672427869,3.3933044473989074,3.3412597197199005,13.489981617126205
fig2b_66,qcopula_66,2.3062676386118883,385.5031359886857,294.33032548692535,679.8334614756111,3.4863254434646724,2.548135939516257,185.4950892094572
fig2b_67,qcopula_67,2.4477884314789726,360.15453901161703,106.46470450853558,466.6192435201526,2.392919197539244,2.347054777986758,11.290616590721584
fig2b_68,qcopula_68,1.8736537843734131,790.3104671815422,91.41458855823231,881.7250557397745,4.521666952511664,4.480665257911775,12.475995704890238
fig2b_69,qcopula_69,2.5955195202813632,354.62848234713414,86.99430152172162,441.6227838688558,2.2647322249684914,2.2569655169351295,3.771473583440695
fig2b_70,qcopula_70,2.233549856849003,508.9556056738064,117.53275812233889,626.4883637961453,3.2127608399802323,3.1856020663282787,8.481562928459311
fig2b_71,qcopula_71,2.0624387304076937,452.8226974530274,257.2356102358014,710.0583076888288,3.6413246548145066,2.766576068312897,173.34255043612677
fig2b_72,qcopula_72,2.083055845093175,384.77335653139005,280.9101018924799,665.68345842387,3.4137613252506154,2.465638277397569,187.34963260874156
fig2b_73,qcopula_73,1.9156942723515729,626.9230037079037,150.67692027045533,777.599923978359,3.9876919178377386,3.720936949658527,55.738155744604796
fig2b_74,qcopula_74,2.102815150061262,555.101522140384,74.58722357531143,629.6887457156954,3.229173054952284,3.2030812426271345,8.290984646031347
fig2b_75,qcopula_75,2.3121299664866934,367.60400744003005,112.04671479424985,479.6507222342799,2.459747293509128,2.365274945076219,20.787382889493415
fig2b_76,qcopula_76,2.5933550660617506,337.8754135542242,127.5572367802114,465.4326503344356,2.3868341042791568,2.2844863960583766,22.242289499110598
fig2b_77,qcopula_77,2.5209002625997,372.7276779898216,215.05322107015598,587.7808990599776,3.014261020820398,2.528047158167948,97.33975037539568
fig2b_78,qcopula_78,2.523482573111097,338.611712928794,144.9296024989918,483.54131542778583,2.4796990534758248,2.2897323645447827,39.33323670609798
fig2b_79,qcopula_79,2.129358310656364,533.70809796666,123.90659560123754,657.6146935678976,3.372383043937936,3.3123770240917096,15.013550894105947
fig2b_80,qcopula_80,2.310074872760851,728.8276639873536,102.25438169031163,831.0820456776653,4.261959208603412,4.23727702256708,9.05030329965166
