R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1.2385874,157.679836,174.255458,183.368109,192.480759,194.72638,0.81408941,0.18591059,0,0,0,187.034583,167.312875,162.820254,185.122641,245.163921
1.2424342,157.729502,174.230043,183.281522,192.333001,194.598378,0.814278959,0.185721041,0,0,0,186.911637,167.365575,162.89848,185.074346,244.75704
1.2462931,157.778094,174.202349,183.192187,192.182024,194.467208,0.814468893,0.185531107,0,0,0,186.785648,167.417136,162.975829,185.023797,244.343284
1.2501639,157.825858,174.175093,183.104557,192.034021,194.338503,0.8146592,0.1853408,0,0,0,186.662027,167.467818,163.053993,184.975972,243.936478
1.2540467,157.878397,174.20811,183.116138,192.024166,194.335436,0.814849882,0.185150118,0,0,0,186.659081,167.523566,163.170047,185.039633,243.839101
1.2579416,157.929884,174.239639,183.126005,192.012371,194.330461,0.815040941,0.184959059,0,0,0,186.654303,167.578199,163.285527,185.10208,243.738417
1.2618485,157.980309,174.269663,183.134141,191.998618,194.323563,0.815232368,0.184767632,0,0,0,186.647677,167.631704,163.400424,185.163301,243.634396
1.2657676,158.029664,174.298171,183.140531,191.982891,194.314723,0.815424172,0.184575828,0,0,0,186.639186,167.684075,163.514739,185.223286,243.527001
1.2696989,158.077939,174.325145,183.145157,191.965169,194.303922,0.815616349,0.184383651,0,0,0,186.628812,167.735299,163.628462,185.282023,243.4162
1.2736424,158.125124,174.35057,183.148003,191.945436,194.291142,0.815808896,0.184191104,0,0,0,186.616537,167.785366,163.741589,185.339501,243.30196
1.2775982,158.171207,174.37443,183.149051,191.923672,194.276364,0.816001814,0.183998186,0,0,0,186.602343,167.834265,163.854114,185.395708,243.184244
1.2815662,158.216181,174.396709,183.148284,191.899858,194.25957,0.816195096,0.183804904,0,0,0,186.586212,167.881986,163.966028,185.450632,243.063022
1.2855465,158.260032,174.417392,183.145685,191.873978,194.240741,0.816388744,0.183611256,0,0,0,186.568127,167.928516,164.077327,185.504261,242.938257
1.2895393,158.302755,174.436463,183.141236,191.846009,194.219857,0.816582764,0.183417236,0,0,0,186.548068,167.973849,164.18801,185.556586,242.809908
1.2935444,158.344334,174.453904,183.13492,191.815935,194.196899,0.816777143,0.183222857,0,0,0,186.526017,168.017969,164.298063,185.607591,242.677947
