R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1.9844247,158.217119,171.100061,180.076637,189.053213,229.443087,0.7,0.03,0.1,0.15,0.02,178.206045,167.882982,176.094477,189.206081,215.277807
1.990588,158.17588,171.052995,180.021435,188.989874,229.183572,0.7,0.03,0.1,0.15,0.02,178.127331,167.839223,176.148884,189.210346,215.034314
1.9967705,158.132714,171.003506,179.963944,188.924382,228.919114,0.7,0.03,0.1,0.15,0.02,178.046123,167.79342,176.202082,189.212823,214.786183
2.0029722,158.118363,170.998765,179.952976,188.907188,228.740467,0.7,0.03,0.1,0.15,0.02,178.019521,167.778192,176.269653,189.244194,214.618565
2.0091931,158.135973,171.04379,179.993539,188.943289,228.657117,0.7,0.03,0.1,0.15,0.02,178.05339,167.796878,176.353165,189.307575,214.540361
2.0154334,158.152218,171.08751,180.032731,188.977952,228.570746,0.7,0.03,0.1,0.15,0.02,178.085849,167.814116,176.435716,189.369699,214.459323
2.021693,158.167086,171.129911,180.070537,189.011164,228.481328,0.7,0.03,0.1,0.15,0.02,178.116885,167.829892,176.517294,189.430554,214.375425
2.0279721,158.180564,171.17098,180.106947,189.042914,228.388828,0.7,0.03,0.1,0.15,0.02,178.146485,167.844193,176.597893,189.490129,214.288636
2.0342706,158.192637,171.210703,180.141946,189.073188,228.293221,0.7,0.03,0.1,0.15,0.02,178.174636,167.857004,176.677501,189.54841,214.198931
2.0405888,158.203295,171.249068,180.175522,189.101976,228.19447,0.7,0.03,0.1,0.15,0.02,178.201325,167.868313,176.756112,189.605389,214.106277
2.0469265,158.212523,171.286059,180.207661,189.129263,228.092549,0.7,0.03,0.1,0.15,0.02,178.226537,167.878105,176.833715,189.66105,214.010648
2.053284,158.220308,171.321664,180.238351,189.155038,227.987423,0.7,0.03,0.1,0.15,0.02,178.25026,167.886366,176.910302,189.715384,213.912013
2.0596612,158.226638,171.355867,180.267577,189.179288,227.879063,0.7,0.03,0.1,0.15,0.02,178.272479,167.893082,176.985862,189.768378,213.810342
2.0660582,158.231498,171.388655,180.295328,189.202001,227.767434,0.7,0.03,0.1,0.15,0.02,178.293182,167.898239,177.060386,189.820018,213.705605
2.072475,158.234874,171.420012,180.321587,189.223162,227.652506,0.7,0.03,0.1,0.15,0.02,178.312352,167.901821,177.133864,189.870294,213.597773
2.0789118,158.236753,171.449926,180.346343,189.24276,227.534244,0.7,0.03,0.1,0.15,0.02,178.329978,167.903815,177.206288,189.919192,213.486812
2.0853686,158.23712,171.47838,180.369581,189.260781,227.412614,0.7,0.03,0.1,0.15,0.02,178.346044,167.904205,177.277649,189.9667,213.372691
2.0918455,158.235963,171.505359,180.391286,189.277213,227.287583,0.7,0.03,0.1,0.15,0.02,178.360535,167.902977,177.347935,190.012806,213.255379
2.0983424,158.233266,171.530849,180.411445,189.292041,227.159118,0.7,0.03,0.1,0.15,0.02,178.373438,167.900115,177.417136,190.057495,213.134845
2.1048596,158.229015,171.554833,180.430043,189.305253,227.027179,0.7,0.03,0.1,0.15,0.02,178.384737,167.895604,177.485244,190.100756,213.011052
2.1113969,158.223195,171.577297,180.447066,189.316835,226.891739,0.7,0.03,0.1,0.15,0.02,178.394418,167.889429,177.552247,190.142575,212.883974
2.1179546,158.215791,171.598223,180.462499,189.326774,226.752755,0.7,0.03,0.1,0.15,0.02,178.402465,167.881573,177.618137,190.182939,212.75357
2.1245327,158.20679,171.617597,180.476327,189.335056,226.610193,0.7,0.03,0.1,0.15,0.02,178.408863,167.872022,177.682903,190.221835,212.61981
