dataset,source_paper,tracer,method,R_kpc,R_err_kpc,vc_kms,sigma_v_kms,mass_msun,sigma_mass_msun,kind,plotted,used_in_fit,note
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",5.74,,234.544,5.05919,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",6.23,,231.2,4.800251,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",6.23,,241.988,4.800251,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",6.73,,229.88,3.646355,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",6.73,,237.844,3.646355,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",7.22,,229.61,4.807216,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",7.22,,247.547,4.807216,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",7.82,,229.91,3.15389,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",7.82,,238.075,3.15389,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",8.19,,228.86,1.703556,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",8.19,,230.494,1.703556,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",8.78,,226.5,2.254196,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",8.78,,231.252,2.254196,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",9.27,,226.2,0.72,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",9.27,,232.204,0.72,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",9.76,,225.94,0.42,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",9.76,,231.763,0.42,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",10.26,,225.68,0.44,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",10.26,,230.824,0.44,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",10.75,,224.73,0.38,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",10.75,,229.258,0.38,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",11.25,,224.02,0.33,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",11.25,,227.103,0.33,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",11.75,,223.86,0.4,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",11.75,,226.952,0.4,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",12.25,,222.23,0.51,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",12.25,,225.318,0.51,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",12.74,,220.77,0.54,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",12.74,,223.86,0.54,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",13.23,,220.92,0.57,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",13.23,,224.035,0.57,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",13.74,,217.47,0.64,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",13.74,,220.572,0.64,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",14.24,,217.31,0.77,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",14.24,,220.441,0.77,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",14.74,,217.6,0.65,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",14.74,,220.768,0.65,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",15.22,,217.07,1.06,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",15.22,,220.266,1.06,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",15.74,,217.38,0.84,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",15.74,,220.62,0.84,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",16.24,,216.14,1.2,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",16.24,,219.406,1.2,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",16.74,,212.52,1.39,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",16.74,,215.787,1.39,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",17.25,,216.41,1.44,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",17.25,,219.765,1.44,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",17.75,,213.7,2.22,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",17.75,,217.07,2.22,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",18.24,,207.89,1.76,,,"direct_rotation",true,false,""
