R_kpc,Baryonic_target_p5,Baryonic_target_p16,Baryonic_target_p50,Baryonic_target_p84,Baryonic_target_p95,Baryonic target_min,Baryonic target_max
2.1982537,166.73234,170.65447,180.910555,189.048343,202.215438,166.73234,202.215438
2.2050811,166.721278,170.64003,180.9042,189.040747,202.138812,166.721278,202.138812
2.2119298,166.708427,170.623733,180.896017,189.020242,202.059522,166.708427,202.059522
2.2187997,166.693767,170.605558,180.885988,188.993124,201.977547,166.693767,201.977547
2.2256909,166.67728,170.585489,180.8741,188.964228,201.892858,166.67728,201.892858
2.2326036,166.658947,170.563507,180.860332,188.933541,201.80543,166.658947,201.80543
2.2395377,166.638748,170.539594,180.844668,188.901051,201.715237,166.638748,201.715237
2.2464934,166.616664,170.513732,180.827091,188.866746,201.622251,166.616664,201.622251
2.2534707,166.630282,170.528876,180.851904,188.874685,201.583141,166.630282,201.583141
2.2604696,166.680587,170.586112,180.920221,188.92593,201.59936,166.680587,201.59936
2.2674903,166.729702,170.642144,180.987386,188.976061,201.613792,166.729702,201.613792
2.2745328,166.777616,170.696959,181.05339,189.025073,201.62642,166.777616,201.62642
2.2815971,166.824313,170.750546,181.11822,189.072955,201.637226,166.824313,201.637226
2.2886834,166.869785,170.802896,181.181866,189.119704,201.646194,166.869785,201.646194
2.2957917,166.914019,170.853998,181.244321,189.165311,201.653309,166.914019,201.653309
2.3029221,166.957002,170.903841,181.30557,189.209769,201.658553,166.957002,201.658553
2.3100746,166.998722,170.952413,181.367134,189.25307,201.661907,166.998722,201.661907
2.3172494,167.039167,170.999704,181.433619,189.295206,201.663356,167.039167,201.663356
2.3244464,167.078325,171.045704,181.498847,189.33617,201.662882,167.078325,201.662882
2.3316658,167.116181,171.090399,181.560198,189.375955,201.660466,167.116181,201.660466
2.3389076,167.152725,171.13378,181.618975,189.414552,201.656092,167.152725,201.656092
2.3461719,167.187942,171.171475,181.676496,189.451955,201.649741,167.187942,201.649741
2.3534588,167.221821,171.198304,181.732752,189.488153,201.641395,167.221821,201.641395
2.3607682,167.254346,171.223807,181.787727,189.52314,201.631036,167.254346,201.631036
2.3681004,167.285505,171.247976,181.841413,189.556908,201.618644,167.285505,201.618644
2.3754554,167.315284,171.2708,181.893795,189.589447,201.604202,167.315284,201.604202
2.3828332,167.34367,171.292271,181.944861,189.62075,201.58769,167.34367,201.58769
2.3902339,167.370647,171.312378,181.994597,189.650808,201.569089,167.370647,201.569089
2.3976576,167.396204,171.331113,182.042991,189.679613,201.548379,167.396204,201.548379
2.4051044,167.420325,171.348465,182.090031,189.707154,201.525542,167.420325,201.525542
2.4125743,167.442996,171.364425,182.135704,189.733426,201.500557,167.442996,201.500557
2.4200674,167.464201,171.378981,182.179994,189.758417,201.473405,167.464201,201.473405
2.4275838,167.483928,171.392126,182.222892,189.78212,201.444066,167.483928,201.444066
2.4351235,167.502159,171.403847,182.264381,189.804524,201.412518,167.502159,201.412518
2.4426866,167.518881,171.414136,182.304447,189.83433,201.378742,167.518881,201.378742
2.4502732,167.534078,171.422982,182.34308,189.864921,201.342716,167.534078,201.342716
2.4578834,167.547734,171.430374,182.380265,189.893928,201.304421,167.547734,201.304421
2.4655172,167.559834,171.436302,182.415987,189.921335,201.263834,167.559834,201.263834
2.4731747,167.570363,171.440757,182.450232,189.947132,201.220934,167.570363,201.220934
2.480856,167.579303,171.443725,182.482985,189.971305,201.175699,167.579303,201.175699
2.4885612,167.586638,171.445196,182.514235,189.993842,201.128107,167.586638,201.128107
2.4962903,167.592353,171.44516,182.543964,190.014731,201.078137,167.592353,201.078137
2.5040434,167.634509,171.487624,182.617993,190.078539,201.079166,167.634509,201.079166
2.5118206,167.710419,171.563353,182.733331,190.182355,201.127638,167.710419,201.127638
2.5196219,167.785209,171.636148,182.848085,190.285432,201.174722,167.785209,201.174722
2.5274475,167.858868,171.707765,182.962247,190.387763,201.220409,167.858868,201.220409
2.5352974,167.931378,171.77819,183.075804,190.489339,201.264689,167.931378,201.264689
2.5431716,168.002726,171.847411,183.188743,190.59015,201.30755,168.002726,201.30755
2.5510703,168.0729,171.915418,183.301055,190.690189,201.348983,168.0729,201.348983
2.5589936,168.141883,171.982198,183.41273,190.789449,201.388978,168.141883,201.388978
2.5669414,168.20966,172.047735,183.523755,190.887919,201.427523,168.20966,201.427523
2.5749139,168.276216,172.11202,183.634118,190.985594,201.46461,168.276216,201.46461
2.5829112,168.341537,172.175038,183.743811,191.082464,201.500227,168.341537,201.500227
2.5909334,168.405608,172.236778,183.852822,191.178523,201.534364,168.405608,201.534364
2.5989804,168.46841,172.297225,183.961137,191.27376,201.56701,168.46841,201.56701
2.6070525,168.529931,172.356365,184.068747,191.368168,201.598154,168.529931,201.598154
2.6151496,168.590151,172.414185,184.17564,191.461741,201.627788,168.590151,201.627788
2.6232718,168.649056,172.470669,184.281806,191.554468,201.655897,168.649056,201.655897
2.6314193,168.706629,172.525805,184.387232,191.646344,201.682474,168.706629,201.682474
2.6395921,168.762851,172.579577,184.491907,191.737361,201.707508,168.762851,201.707508
2.6477903,168.817707,172.631971,184.595822,191.827509,201.730986,168.817707,201.730986
2.6560139,168.871179,172.682972,184.698963,191.916783,201.752899,168.871179,201.752899
2.6642631,168.92325,172.732564,184.801321,192.005174,201.773235,168.92325,201.773235
2.6725379,168.9739,172.780731,184.902883,192.092675,201.791985,168.9739,201.791985
2.6808384,169.023112,172.827459,185.003639,192.179279,201.809137,169.023112,201.809137
2.6891647,169.070867,172.937583,185.103578,192.264979,201.82468,169.070867,201.82468
2.6975168,169.117147,173.040064,185.202687,192.349765,201.838603,169.117147,201.838603
2.7058949,169.161932,173.070318,185.300956,192.433632,201.850895,169.161932,201.850895
2.714299,169.205202,173.098471,185.398375,192.516573,201.861544,169.205202,201.861544
2.7227292,169.246937,173.124503,185.494931,192.598582,201.870543,169.246937,201.870543
2.7311856,169.287119,173.162542,185.590613,192.679649,201.877875,169.287119,201.877875
2.7396683,169.325727,173.205579,185.685412,192.75977,201.883534,169.325727,201.883534
2.7481773,169.362738,173.331382,185.779314,192.838935,201.887505,169.362738,201.887505
2.7567127,169.459973,173.529349,185.951201,192.99521,201.970898,169.459973,201.970898
2.7652746,169.572558,173.747825,186.144353,193.174065,202.075818,169.572558,202.075818
2.7738632,169.683673,173.967392,186.337406,193.355802,202.180352,169.683673,202.180352
2.7824784,169.793288,174.188026,186.530352,193.537969,202.284506,169.793288,202.284506
2.7911203,169.901374,174.364451,186.723189,193.720578,202.388289,169.901374,202.388289
2.7997891,170.007907,174.467987,186.915921,193.903647,202.491708,170.007907,202.491708
2.8084848,170.112856,174.56871,187.108546,194.087185,202.594771,170.112856,202.594771
2.8172076,170.216194,174.666591,187.301064,194.27121,202.697488,170.216194,202.697488
2.8259574,170.317892,174.775635,187.493473,194.45573,202.799863,170.317892,202.799863
2.8347344,170.41792,174.887064,187.685773,194.640762,202.901907,170.41792,202.901907
2.8435387,170.516252,174.996121,187.877966,194.826318,203.003626,170.516252,203.003626
2.8523703,170.612857,175.102776,188.068168,195.01241,203.105026,170.612857,203.105026
