arm,color,label,lw,segment,x_disp,y_disp
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7004485,-9.536527
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7089379,-9.5212353
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7173412,-9.5058875
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7256582,-9.4904842
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7338884,-9.4750258
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7420315,-9.4595128
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7500871,-9.4439458
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7580549,-9.4283252
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7659345,-9.4126515
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7737256,-9.3969252
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7814279,-9.3811467
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7890409,-9.3653167
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7965644,-9.3494355
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.803998,-9.3335038
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8113414,-9.3175219
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8185942,-9.3014905
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8257562,-9.2854099
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.832827,-9.2692808
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8398062,-9.2531036
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8466936,-9.2368789
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8534889,-9.2206072
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8601917,-9.204289
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8668017,-9.1879247
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8733186,-9.1715151
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8797421,-9.1550605
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.886072,-9.1385615
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8923078,-9.1220186
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8984494,-9.1054324
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9044963,-9.0888033
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9104484,-9.072132
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9163054,-9.055419
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9220669,-9.0386648
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9277327,-9.0218699
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9333025,-9.0050349
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.938776,-8.9881604
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9441529,-8.9712468
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9494331,-8.9542948
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9546162,-8.9373049
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9597019,-8.9202776
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9646901,-8.9032135
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9695803,-8.8861132
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9743725,-8.8689771
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9790663,-8.8518059
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9836616,-8.8346002
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9881579,-8.8173605
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9925552,-8.8000873
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.9968532,-8.7827812
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0010516,-8.7654428
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0051502,-8.7480727
